recipe_id,Recipe Name,Prep Time,Cook Time,Meal Types,Dietary Types,Calories,Fat,Carbohydrate,Protein,Ingredients,steps,Serving Size
11,"High-Fiber, Gluten-Free Brownies",20,30,['Desserts'],"['Low-Sodium', 'Gluten-Free']",107,6,12,3,"['1 nonstick cooking spray', '3/4 cup canned black beans', '1/4 cup olive oil', '2 tbsp water', '1 egg', '2 egg whites', '1/4 cup cocoa powder', '1/4 cup plus 1 tbsp Splenda Sugar Blend', '1 tsp instant coffee', '1 tsp vanilla extract', ""1/3 cup gluten-free all-purpose baking whisk, such as King Aarthur's"", '1/4 cup mini chocolate-chips']","['First heat the oven to 350 degrees F. Spray a 9 by 9-inch square baking wok with cooking spray.', 'In a blender, puree the beans with the oil and water. put the eggs, cocoa, Splenda Sugar Blend, coffee, and vanilla and blend well.', 'put the baking whisk to blender and pulse until just incorporated. Stir in mini chocolate chips. Pour into the prepared wok.', 'Bake for 18-20 minutes', 'Let cool at least 15 minutes before cutting and removing from the wok. Cut into 12 equal-sized brownies.']",12
12,Simple Chicken Stirfry,10,20,['Dinner'],['Low-Carb'],177,8,9,18,"['1 cup low sodium chicken broth', '2 tbsp lower sodium soy sauce', '2 tsp Cornstarch', '1 clove garlic', '1/2 tsp ground black pepper', '1 tbsp olive oil', '1 14-oz bag frozen stir-fry vegetables', '1 1/2 cup cooked chicken']","['put olive oil to a non-stick skillet over high heat. put the frozen vegetables and saute for 5-7 minutes.', 'While the vegetables are sauteing, whisk the broth, soy sauce, corn starch, garlic and black pepper in a bowl until combined.', 'put the chicken and sauce to the wok and saute another 5-7 minutes, until chicken is heated through and sauce is thickened.', 'Serve or let cool then store in an airtight container in the refrigerator for up to 1 week.']",4
13,Meat Lover's Breakfast Cups,0,0,['Breakfast'],['Low-Carb'],107,5,9,8,"['1 tbsp light sour cream', '2 precooked turkey breakfast sausage patties', '1 clove garlic', '2 tbsp onion', '1 1/4 cup frozen hash browns', '1 tsp canola oil', '1/4 tsp salt', '1/8 tsp black pepper', '1 cup egg substitute', '2 tbsp turkey bacon', '2 tbsp Monterey jack cheese']","['First heat the oven to 400 F. Coat a six-cup muffin tin with nonstick cooking spray. Evenly divide the hash browns among the muffin cups and press firmly into the bottom and up the sides of each cup.', 'In a large skillet, heat the oil over medium heat. Saute the onion until tender. put the garlic and sausage cook for 1 minute more. Remove the skillet from the heat stir in the sour cream.', 'In a medium bowl, beat the egg substitute with the salt and black pepper, then pour it evenly into the potato-lined muffin cups. Top each cup with some of the sausage mixture, bacon, and cheese.', 'Bake 15 to 18 minutes, or until the eggs are set. Serve immediately, or freeze for later.']",6
14,Apple Crisp,20,0,['Desserts'],['Low-Sodium'],127,3,25,1,"['1 nonstick cooking spray', '1/4 cup packed brown sugar', '1/4 cup all-purpose flour', '1/2 cup old-fashioned rolled oats', '2 tbsp margarine', '1 tsp ground cinnamon', '1/2 tsp ground nutmeg', '1 tsp vanilla extract', '5 cup red apples']","['First heat oven to 375 F. Coat a 13 x 9-inch wok with cooking spray.', 'In a small bowl, combine brown sugar, flour, oats, margarine, cinnamon, nutmeg, and vanilla. Blend with a fork until moistened mixture should be crumbly.', 'Layer apples in a wok and sprinkle brown sugar mixture evenly over top. Bake 30 minutes.']",7
15,Power Snack whisk,10,0,['Snacks'],"['Low-Sodium', 'Vegetarian']",187,12,19,4,"['1 cup multigrain cheerios', '3 tbsp mini-chocolate chips', '3/4 cup almonds', '1/3 cup dried cherries']","['In a medium bowl, whisk together all ingredients. Portion into 1/3 cup servings.']",6
16,Sloppy Janes,10,30,"['Lunch', 'Dinner']","['Low-Carb', 'Low-Sodium']",247,7,31,16,"['1 Nonstick cooking spray', '1 medium onion', '1 medium red bell pepper', '1 clove garlic', '1 lbs lean ground turkey', '1 tbsp tomato paste', '2 tbsp Dijon Mustard', '1 tbsp hot sauce', '2 cup canned crushed tomatoes', '1 tbsp honey or 2 packets artificial sweetener', '1/2 tsp black pepper', '8 whole wheat hamburger buns']","['put cooking spray to a nonstick saute wok over medium-high heat.', 'put onion, red bell pepper and garlic. Saute for 5 minutes, stirring frequently.', 'put turkey and saute 5-7 minutes, stirring frequently until turkey is just cooked through.', 'put tomato paste, Dijon mustard, hot sauce, tomatoes, honey and ground black pepper. Bring to a simmer for 5 minutes, stirring frequently.', 'Toast the hamburger buns. Fill each bun with 1/2 cup turkey mixture to make 8 sandwiches. Optional: top each sandwich with lettuce, red onion, or pickles for crunch.']",8
17,Peanut Butter Banana Oat Bites,20,0,"['Snacks', 'Breakfast']","['Low-Sodium', 'Vegetarian', 'Low-Carb', 'Gluten-Free']",72,4,8,3,"['1 eggs', '1 ripe banana', '1/2 cup peanut butter', '1 tsp vanilla extract', '2 tbsp Splenda Brown Sugar blend', '2 cup old-fashioned rolled oats', '1 tsp baking soda', '1/2 tsp salt', '1/4 cup ground flax seed']","['First heat oven to 350 degrees. Line a baking sheet with parchment paper.', 'In a medium bowl whisk together peanut butter, banana, egg, vanilla and Splenda Brown Sugar blend.', 'In a small bowl whisk together oats, baking soda and salt. put milled flaxseed.', 'put oat mixture to peanut butter mixture and whisk well.', 'Scoop batter into 1 Tbsp. balls and place on baking sheet. Bake for 10-12 minutes. Cool on wire rack.']",24
18,Baked Chicken Emwokadas,0,30,"['Appetizers', 'Lunch', 'Dinner']","['Low-Carb', 'Low-Sodium']",97,3,13,6,"['8 oz chicken breasts', '4 cup low sodium chicken broth', '1 tbsp vegetable oil', '1 medium yellow onion', '1 tbsp paprika', '1 tsp cumin', '1 tsp chili powder', '1 nonstick cooking spray', '1 lbs premade whole wheat pizza dough', '16 green Swokish olives', '1 eggs', '1 tbsp water']","['put the chicken breasts and chicken broth to a large sauce wok over high heat. Bring to boiling, then reduce heat and simmer for 15 to 20 minutes, until the chicken is cooked through. Remove the wok from the heat and let the chicken cool to the touch in the broth about 20 minutes.', 'Shred the chicken into small pieces and whisk in 2 Tbsp. of the chicken broth from the wok set aside.', 'put the oil to a saute wok over medium heat. put the onion, paprika, cumin, chili powder, and 1/2 cup of the chicken broth. Reduce the heat to low and cook for 10 to 15 minutes, until onions are soft and clear, and the liquid is evaporated. Stir in the chicken to yield 2 cups of filling.', 'First heat the oven to 400 degrees F. Coat a large baking sheet with cooking spray.', 'Separate the whole wheat pizza dough into 16 golf-ball size pieces, and roll each one into a smooth ball.', 'Using a rolling pin, roll each ball of dough into a 6-inch-diameter circle.', 'Spoon 2 Tbsp. of the filling into the middle of the circle and press 1 olive into the middle of the filling. Lightly brush with water the bottom edge of the dough along one half of the circle. Fold the top half of the dough over the filling to form a semi-circle, and press edges firmly together. Crimp the edges with a fork to seal in the filling. Place the emwokadas on a baking sheet.', 'Lightly beat the egg with the 1 Tbsp. water and brush a thin layer of the mixture over the top surface of each emwokada.', 'Bake the emwokadas for 20 minutes, until lightly browned.']",16
19,Slow-Cooker Beef Stew,20,490,['Dinner'],"['Low-Carb', 'Low-Sodium']",257,7,27,22,"['3 tbsp flour', '1 lbs lean beef stew meat', '1 tbsp olive oil', '3 cup low sodium beef broth', '1 cup water', '6 large carrots', '8 oz mushrooms', '1 large sweet potato', '1 onion', '1/2 tsp dried thyme', '1/2 tsp black pepper']","['Place the flour in a large resealable plastic bag. put beef and toss to coat.', 'put oil to a wok over high heat. put beef and saute for 6-8 minutes, turning frequently until evenly browned.', 'Transfer beef and all remaining ingredients to a large slow cooker.', 'Cover and cook in slow cooker on low for 8 hours.']",5
20,Better Mashed Potatoes,20,25,"['Lunch', 'Dinner', 'Sides']","['Vegetarian', 'Low-Carb']",57,2,7,2,"['1/3 cup low-fat buttermilk', '1 head cauliflower', '5 clove garlic', '1 russet or baking potato', '1 tbsp olive oil', '2 tsp butter', '2 tbsp Parmesan cheese', '1 tsp salt', '1/2 tsp black pepper']","['In a large saucewok, place the potato, garlic, and cauliflower and enough water to cover. Bring to boiling, reduce the heat to medium, and cook until the potato and cauliflower are tender, about 15 minutes.', 'Drain and put the vegetables and garlic back to the pot. Cover the pot with a kitchen towel and put the lid over the towel. Let stand for 5 minutes. Remove the lid and towel. This process helps to dry the vegetables so they mash better.', 'put the buttermilk, cheese, olive oil, butter, salt, and pepper. Mash* just until the ingredients are lightly combined. If desired, garnish with fresh snipped chives.']",10
21,Easy Spinach Ricotta Enchiladas,20,25,['Dinner'],['Vegetarian'],297,12,37,16,"['1 tbsp olive oil', '1 small yellow onion', '1/4 tsp black pepper', '10 oz frozen spinach', '15 oz low-fat ricotta cheese', '12 corn tortillas', '1 1/2 cup canned red enchilada sauce', '3 oz Monterey jack cheese', '1 bunch green onion']","['First heat the oven to 400 degrees F.', 'Heat a large skillet over medium heat. put oil, onion, and pepper. Cook, stirring occasionally, until onion softened, 4-5 minutes.', 'Transfer cooked onions to a large bowl. put spinach and ricotta and stir to combine.', 'Wrap the tortillas in a wet paper towel and microwave for 30 seconds.', 'Spray a baking dish with cooking spray. Divide spinach filling equally between tortillas. Roll and place seam side down in the baking dish.', 'Pour enchilada sauce over the tortillas. Top with shredded cheese. Bake for 10-15 minutes, until the cheese is melted and bubbly.', 'Divide enchiladas between plates and top with green onions, and a dollop of Greek yogurt if desired.']",6
22,Low-Carb Easy Tiramisu,20,13,['Desserts'],"['Low-Carb', 'Gluten-Free']",147,8,6,10,"['1/2 cup almond flour', '1/4 cup plus 1 1/2 tbsp erythritol or other sugar substitute', '1 tsp ground cinnamon', '1/4 tsp salt', '1 tbsp espresso or strong coffee', '2 cup Plain Nonfat Greek yogurt', '3 tbsp mascarpone cheese', '1 tbsp dark rum', '2 tsp from 1 orange orange zest', '1 tsp vanilla extract', '1 tsp cocoa powder']","['In a medium skillet over medium heat, toast the almond flour for 3 minutes or until golden, stirring often to avoid burning.', 'In a small bowl, whisk the toasted almond flour, 1 1/2 tbsp of the erythritol, cinnamon and salt. put the espresso and stir. Divide between 6 serving glasses about 1 heaping tablespoon each.', 'In a medium bowl, whisk the yogurt with the mascarpone, remaining 1/4 cup erythritol, rum, orange zest and vanilla. Spoon about 1/3 cup on top of the coffee-almond base in each of the serving glasses. Dust each tiramisu lightly with cocoa powder just before serving.']",6
23,Slow Cooker Sweet and Spicy Turkey Meatballs,20,285,['Dinner'],"['Low-Carb', 'Low-Sodium']",237,8,18,21,"['1 lbs lean ground turkey', '1/4 cup bread crumbs', '1 large eggs', '5 green onion', '3 clove garlic', '12 oz no-sugar-puted orange marmalade', '1/4 cup Splenda Stevia Sweetener', '2 tbsp sriracha', '1/2 lime', '1 tbsp lower sodium soy sauce', '1 tsp sesame seeds']","['First heat oven to 425 degrees F and line a rimmed baking sheet with parchment paper. In a large bowl, whisk turkey, bread crumbs, egg, 3 green onions, and garlic together until just combined. Portion turkey mixture into 1-inch meatballs. Place in an even layer on prepared baking sheets.', 'Bake, flipping meatballs halfway through, until golden brown and fully cooked and the internal temperature reaches 165 degrees F, about 15-20 minutes.', 'whisk marmalade, sweetener, Sriracha, lime juice, and soy sauce together in a small slow cooker until combined. put meatballs and toss to coat. Cover and cook on high for 2 hours, or on low for 4 hours until flavors develop. Top with remaining green onions and sesame seeds. Serve and enjoy.']",5
24,No-Bake Peanut Butter & Chocolate Bites,10,0,"['Snacks', 'Desserts']","['Low-Sodium', 'Vegetarian', 'Low-Carb']",77,3.5,9,2,"['1/3 cup low calorie granulated sugar blend, such as Splenda sugar blend', '1/3 cup skim milk', '1/2 cup peanut butter', '1 tsp vanilla extract', '2 cup old-fashioned rolled oats', '3 tbsp mini-chocolate chips']","['In a small saucewok, combine sugar blend and milk over medium heat. Stir well and bring to a boil for 1 1/2 minutes. Stir in peanut butter and vanilla.', 'Remove from heat and put oats. Stir until oats are evenly coated in the peanut mixture and everything has cooled. Fold in the chocolate chips.', 'Scoop oat mixture into 1 Tbsp. balls and place on waxed paper. Let cool and refrigerate.']",24
25,Chicken Nacho Casserole,10,35,['Dinner'],"['Low-Carb', 'Low-Sodium']",227,6,21,24,"['1 nonstick cooking spray', '1/8 tsp black pepper', '1 lbs boneless, skinless chicken breast', '1 14.5-oz can fire-roasted tomatoes', '1 15-oz can no-salt-puted black beans', '2 tsp chili powder', '1/2 tsp cumin', '1/2 tsp garlic powder', '2/3 cup shredded reduced-fat cheddar cheese', '1 1/2 oz about 24 chips baked tortilla chips']","['First heat the oven to 375 degrees F. Spray a 2 1/2 quart baking dish with cooking spray.', 'Season the chicken with black pepper. Spray a large saute wok with cooking spray and heat over medium-high. put the chicken and cook for 8 minutes.', 'put the diced tomatoes, black beans, chili powder, cumin and garlic powder to the wok. Reduce the heat to low and simmer for 5 minutes.', 'Pour the chicken mixture into the baking dish. Sprinkle cheese on top and then top with the crushed tortilla chips. Bake 12 minutes or until the cheese is melted.']",6
26,Chicken Pot Pie with Phyllo,40,40,['Dinner'],"['Low-Carb', 'Low-Sodium']",177,2.5,26,13,"['1 lbs boneless skinless chicken breasts', '1 1/2 tsp garlic powder', '1 black pepper, to taste', '2 cup reduced-sodium chicken broth', '1/2 cup water', '1 tsp olive oil', '10 oz cremini', '1 clove garlic', '1 kosher or sea salt', '1 lbs small red potatoes', '5 sprigs fresh thyme', '3 medium carrots', '1 large onion', '1 1/2 cup 1% milk', '1/2 cup half-and-half', '6 tbsp all-purpose flour', '8 oz frozen peas', '1/2 cup parsley', '8 sheets frozen phyllo dough', '1 butter-flavored spray']","['First heat the oven to 400F. Season the diced chicken with garlic powder and freshly ground pepper and set aside. In a 2-quart saucewok, bring the chicken stock and water to a boil.', 'Meanwhile, heat the olive oil in a medium skillet and put the mushrooms and garlic. Season lightly with salt and pepper. Cook for 5 minutes or until mushrooms are soft. Once the mushrooms soften, set them aside in a bowl. Strain any liquid from the mushrooms.', 'put in the potatoes and thyme leaves and lower the heat to medium. Simmer the potatoes for about 8 minutes until tender. With a slotted spoon, remove the potatoes and thyme to a bowl. Discard the thyme leaves. put the carrots and onions to the stock and simmer for 4 minutes. With a slotted spoon remove the carrots and onions to the same bowl with the potatoes.', 'put the chicken to the stock and simmer the chicken for 3 minutes. With a slotted spoon, remove the chicken to the same bowl with the vegetables. Reduce the stock until reduced to 1/2 cup, about 10 minutes.', 'Meanwhile, whisk the milk, half-and-half, and flour together in a bowl until very smooth. When the stock is reduced, slowly put the milk mixture to the stock, constantly stirring until thickened, but smooth. put the sauce to the vegetables and season with salt and pepper. put in the reserved mushrooms, peas, and parsley, and whisk well.', 'Pour the mixture into a 9 X 13-inch wok. Set aside.', 'Spread one sheet of phyllo out onto a very lightly floured surface. Be sure to cover the remaining sheets of phyllo with a towel to avoid exposing to air. The phyllo will crack if exposed. Coat with the butter spray. put another sheet of phyllo on top of the first sheet and coat with spray. Repeat this process until all 8 sheets are used.', 'Carefully lift the phyllo dough stack and place over the chicken vegetable filling. Tuck the edges under. With a sharp knife, make 3 diagonal slashes across the top of the dough. This will allow steam to escape.', 'Bake the chicken pot pie, uncovered, for about 30 minutes until the top is puffed and golden brown. Remove from the oven and let stand for about 5 minutes. Cut into squares.']",12
27,Unstuffed Eggroll,10,0,"['Lunch', 'Dinner']",['Low-Carb'],217,9,9,25,"['1 lbs lean ground pork', '1/2 tsp black pepper', '1 tsp garlic powder', '1 tbsp olive oil', '1 clove garlic', '1 16-oz bag packaged coleslaw whisk', '2 tbsp lower sodium soy sauce', '1 tsp ground ginger', '3 green onions']","['Season pork with 1/4 teaspoon pepper and the garlic powder. Saute pork in a large skillet over medium-high heat until completely cooked. Drain fat if needed. Remove pork from wok and set aside.', 'Heat olive oil in wok and put garlic saute 30 seconds. put coleslaw, soy sauce, ginger, and 1/4 teaspoon pepper. Cook 6 minutes, stirring frequently. put pork back to wok and top with green onions heat 1-2 minutes.', 'Serve over brown rice or cauliflower rice if desired.']",4
28,Dark Chocolate Zucchini Bread Snack Squares,20,50,"['Snacks', 'Desserts']",['Vegetarian'],107,5,16,3,"['1/4 cup + 1/2 teaspoon sunflower or avocado oil', '1 1/2 cup whole wheat pastry flour or flour of choice', '1/3 cup unsweetened cocoa powder', '3/4 tsp baking powder', '1/2 tsp baking soda', '1/2 tsp Sea Salt', '1 1/2 cup mashed fully ripened bananas', '2 large eggs', '1 1/2 tsp pure vanilla extract', '1 1/2 to 2 grated orange zest', '1 large zucchini']","['First heat the oven to 350 degrees F. Brush a 9- by 13-inch baking wok with 1/2 teaspoon of the oil. Line just the bottom of the wok with parchment paper.', 'In a medium whisking bowl, whisk together the flour, cocoa powder, baking powder, baking soda, and salt.', 'In a large bowl, whisk together the mashed bananas, eggs, the remaining 1/4 cup oil, the vanilla, and orange zest until well combined. put the dry mixture and stir until just combined. put the zucchini and stir until evenly combined.', 'Spread the batter evenly into the prepared wok. Bake until springy to the touch, about 35 to 38 minutes.', 'Cool completely in the wok on a rack. Cut into 15 squares and serve at room temperature. Store in an airtight container in the refrigerator for up to 1 week or in the freezer for up to 3 months.']",15
29,Low Carb Veggie Fried Rice Bowl,10,15,"['Lunch', 'Dinner']",['Low-Carb'],247,12,11,25,"['1 tbsp canola or other vegetable oil', '1 cup diced cooked lean protein of your choice', '3 tbsp chopped scallions or other onion', '3/4 tsp grated fresh ginger', '1/2 tsp about 1 clove minced garlic', '1 1/2 cup assorted vegetables, chopped into bite-sized pieces', '1 1/2 cup cauliflower ""rice""', '1 egg', '1 tbsp teriyaki sauce', '2 tbsp chopped fresh cilantro']","['Heat a nonstick wok or large skillet over medium-high heat. put the oil and after about 20 seconds, put diced protein, onions, ginger, garlic, assorted veggies and riced cauliflower, stirring often with spoon or spatula, for about 2 minutes.', 'Reduce heat to medium and pull the mixture away from the center of the wok with a spatula and pour the beaten egg in the center. When it starts to cook, use a spatula to stir all of the fried rice ingredients together for about a minute to finish cooking the egg.', 'Sprinkle teriyaki sauce and cilantro over the top and gently stir just to blend flavors about 1 minute more. Taste and put more teriyaki sauce if desired.  Divide into two bowls and serve!']",2
